Year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde,Central African Republic,Chad,Comoros,DR Congo,Congo,Ivory Coast,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Swaziland,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
1960,252.19,,93.48,58.04,67.69,66.66,114.39,,74.6,106.15,,218.6,129.97,150.12,,148.52,,,,291.25,,180.62,,,97.62,40.61,170.74,,131.88,46.23,,108.42,,175.22,,,138.34,91.37,42.94,,260.13,147.22,64.01,423.27,,135.38,100.45,,76.77,,62.34,229.49,280.62
1961,221.21,,96.15,61.32,70.66,67.83,119.01,,80.52,110.68,,195.77,145.85,163.66,,151.28,,,,343.24,,187.17,,,94.84,41.2,160.95,,133.76,48.39,,122.61,,169.55,,,145.27,95.23,42.72,,267.19,147.54,66.44,431.35,,143.13,120.37,,79.31,202.5,63.03,217.67,282.89
1962,178.54,,95.14,64.81,75.41,70.11,123.83,,79.97,116,,233.59,155.98,164.32,,136.13,35.37,,,372,,192.56,,,100.6,47.45,163.89,,138.07,49.57,,122.98,,193.86,,,154.43,102.42,42.47,,266.53,151.78,68.95,448,,151.39,125.61,,82.25,202.27,62.03,210.35,278.97
1963,236.67,,100.69,67.51,77.08,75.11,125.29,,81.59,118,,374.01,157.08,186.28,,137.84,41.53,,,312.29,,208.26,,,104.01,52.35,166.89,,138.4,50.43,,122.4,,210.71,,,165.31,105.44,42.21,,267.99,151.87,71.52,484.53,,149.99,144.77,,88.13,231.42,68.95,211.64,280.02
1964,249.62,,105.36,71.81,78.98,82.66,132.4,,87.86,121.84,,168.85,164.83,216.65,,154.4,48.02,,,432.95,,227.52,,,108.56,56.71,177.99,,142.71,50.22,,158.83,,215.93,,,159.5,110.88,41.6,,275.96,159.35,74.16,519.41,,150.07,169.89,,100.4,226.42,76.06,239.78,284.41
1965,263.04,,111.4,76.87,80.03,49.49,134.6,,91.32,126.78,,230.51,171.27,207.92,,160.89,240.32,,,451.25,,263.07,,,104.99,58.78,181.73,,144.61,57.73,,175.62,,221.3,,,177.53,114.74,46.2,,272.72,151.43,76.86,554.79,,152.29,179.49,,110.21,214.05,110.36,300.01,296.56
1966,248.56,,114.47,83.97,80.67,50.51,137.76,,93.85,128.89,,251.14,185.33,222.52,,163.85,250.88,,,486.09,105.94,266.3,,,118.56,59.54,188.86,,152.33,63.91,,178.22,,209.9,,,180.15,121.64,37.52,,272.67,155.5,79.07,591.81,,152.13,191.58,,122.57,220.01,111.61,339.69,280.58
1967,268.11,,113.73,92.9,82.27,53.36,147.21,,95.32,131.23,,182.14,193.93,226.15,,166.96,256.04,,,532.47,109.61,214.41,,,121.38,61,196.48,,157.81,64.57,47.85,183.73,,216.08,,,165.91,97.21,46.64,,264.31,141.93,81.18,646.28,,160.38,181.74,,125.72,224.65,112.78,356.39,296.07
1968,297.57,,119.02,101.81,82.45,53.78,161.92,,109.25,129.72,,204.38,199.51,257.06,,178.35,233.85,,,571.82,94.48,200.6,,,128.86,61.97,202.94,,165.95,57.18,58.82,196.8,,225.57,,,156.11,95,48.84,,269.1,131.86,83.29,684.32,,162.89,189.03,,125.27,246.23,117,405.51,303.57
1969,319.16,,118.38,115.25,83.99,54.89,172.81,,104.92,131.92,,255.53,204.47,262.16,,195.55,230.21,,,610.21,101.16,231.23,,,134.2,65.18,219.09,,165.6,60.34,57.26,181.25,,244.94,,,147.6,118.42,51.91,,247.93,160.47,85.09,754.91,,174.41,243.13,,132.63,256.38,127.61,480.84,347.08
1970,353.81,,117.08,138.89,78.93,69.09,169.55,,103.41,128.36,,240.67,205.95,268.72,,213.86,228.02,,,611.49,114.02,255.17,,130.59,142.5,66.54,224.43,,169.78,64.11,59.62,184.69,,258.41,,,147.92,218.73,58.66,,250.19,167.52,87.79,810.77,,192.54,251.58,,121.1,280.72,133.34,432.19,361.91
1971,358.41,,115.2,177.37,81.43,71.23,175.73,,108.03,134.1,,268.4,234.11,280.11,,224.92,227.95,,,707.18,117.96,271.3,,127.95,152.56,72.54,230.8,,178.35,78.28,70.07,194.58,,277.38,,,152.97,156.3,57.66,,250.09,158.9,90.79,874.45,,203.45,297.56,,132.33,323.56,145.65,386.38,404.57
1972,463.12,,138.09,223.41,95.73,68.99,198.46,,121.17,152.67,,288.07,289.44,312.94,,233.23,238.02,,,780.17,121.28,230.44,,139.46,174.4,75.19,241.92,,194.17,84.35,77.87,220.57,,315.17,,,159.77,203.92,61.79,,292.91,173.1,113.5,897.38,,213.9,310.74,,150.86,422.64,148.92,423.04,480.47
1973,578.99,,166.02,319.07,109.38,84.49,237.42,,139.97,164.71,,357.21,370.39,405.89,,250.37,309.49,,,1278.26,149.1,261.31,,137.99,199.7,110.29,247.26,,232.82,89.41,88.56,269.74,,378.47,,,197.99,245.67,70.63,,326.17,210.06,136.11,1202.47,,256.62,456.09,,178.4,506.76,165.28,531.55,573.72
1974,850.91,,178.45,386.21,119.24,95,296.13,,142.41,162.19,,423.54,388,474.8,,229.64,377.29,,,2661.98,183.8,298.64,,147.5,228.76,134.3,302.37,,262.75,106.9,83.09,325.53,,454.34,,,208.42,392.13,72.58,,356.47,232.43,121.1,1477.02,,319.5,527.05,,240.64,645.44,198.21,614.4,667.29
1975,971.27,,212.71,432.11,146.07,114.39,351.21,,187.7,210.16,,439.05,493.38,575.3,,285.01,437.78,,,3623.67,214.04,283.2,,157.01,241.68,130.07,348.35,,304.32,115.66,125.78,362.7,,519.2,,,206.79,426.44,130.28,,467.19,238.75,172.62,1494.16,,376.68,557.61,,259.42,771.51,216.53,498.48,708.45
1976,1072.28,,214.24,435.74,148.47,119.82,381.1,,218.85,206.15,,401.83,471.18,657.9,,325.6,453.56,,,4923.02,202.18,273.28,,155.83,248.25,125.29,349.64,,282.84,122.3,139.65,388.11,779.9,540.67,,,203.78,541.38,140.6,,461.48,204.91,178.56,1403.95,,454.54,511.16,,254.87,785.07,218.1,541.42,677.48
1977,1228.71,,224.46,508.75,168.19,143.37,404.58,,240.63,218.25,,498.96,464.15,844.41,,348.79,471.71,,,4474.58,241.47,309.94,,153.16,309.37,159.86,383.3,,297.35,142.19,153.29,388.59,897.67,608.54,,,240,521.29,159.23,,461.05,233.4,98.87,1526.81,,548.65,552.75,,313.45,867.6,253.98,480.43,663.15
1978,1495.88,,271.02,639.5,214.44,156.06,514.07,,282.87,254.87,,603,517.86,1017.18,,345.98,,,,3703.7,291.45,350.1,,157.12,351.66,214.68,396.89,,327.29,161.83,175.31,380.08,1088.85,711.47,,,320.16,512.53,186.83,,502.75,317.35,100.83,1719.9,,575.56,600.19,,325.32,986.6,203.09,519.64,640.15
1979,1826.01,,337.29,854.4,248.26,194.93,657.23,,316.59,225.23,,573.91,686.3,1124.86,,413.27,,,,4567.85,340.27,376.98,,146.48,398.07,227.48,437.08,,413.16,174.78,224.51,436.78,1278.33,834.27,,,369.68,643.65,221.37,,611.18,358.63,96.89,2076.28,,576.64,704.04,,343.66,1156.57,174.13,599.99,736.27
1980,2251.07,,389.2,1064.92,267.43,222.69,739.95,474.08,350.56,226.83,375.56,532.78,948.57,1196.99,,509.7,,,,6269.24,382.8,406.97,,132.58,446.61,329.43,444.58,,469.53,198.35,246.68,467.15,1176.55,961.87,290.33,2141.17,427.27,849.87,242.28,,647.07,348.13,93.79,2920.78,,504.54,898.28,,426.11,1369.53,98.29,672.63,916.24
1981,2281.03,,348.14,1039.62,240.35,227.62,814.19,460.69,296.96,188.34,335.33,451.31,1076.48,948.99,,508.53,,,200.35,5494.58,335.11,375.46,,180.73,405.59,322.71,425.61,,406.94,193.11,201.99,478.83,1171.64,760.66,283.9,1885.51,359.53,772.1,263.34,,571.42,345.04,105.96,3073.12,,610.63,919.8,,349.8,1285.78,102.48,671.66,1058.1
1982,2249.6,,332.63,948.81,231.69,230.51,758.73,456.25,310.35,175.1,303.87,478.15,1132.81,815.28,,542.98,,,204.96,4995.97,318.81,347.19,,189.33,366.32,236.65,419.49,,389.22,179.69,175.76,466.68,1093.04,747.53,283.95,1705.82,325,624.98,255.74,,544.17,392.44,117.19,2764.29,,572.57,840.76,,288.67,1208.7,161.92,627.86,1084.46
1983,2350.43,,279.57,1059.11,206.12,238.4,743.4,439.04,265.05,170.48,306.58,375.13,1067.7,706.1,,582.84,,,220.85,4543.36,302.81,336.99,,183.76,327.85,250.72,387.21,,378,181.45,167.84,476.7,1093.98,657.91,249.19,1782.29,282.55,428.13,261.01,,471.88,294.96,112.54,2893.73,,506.51,843.25,,259.64,1209.32,161.57,521.48,947.51
1984,2505.39,,260.98,1084.22,183.33,210.25,763.54,409.29,249.36,183.41,286.75,260.47,1084.67,678.06,,619.64,,,202.04,4627.46,241.26,354.05,,152.92,326.93,208.52,389.3,,308.44,173.38,166.7,427.45,1035.37,586.34,255.53,1460.85,222.76,336.74,270.92,,447.05,314.92,122.8,2792.01,,582.21,726.82,,235.04,1172.1,252.58,413.59,745.28
1985,2621.82,750.56,252.58,942.49,190.03,237.08,774.63,419.29,329.26,200.54,296.81,231.77,1038.31,664.87,845.66,684.76,254.58,,229.05,4207.45,293.74,349.93,,156.05,312.13,166.56,384.94,,292.08,155.66,164.01,390.88,1063.63,577.34,334.33,1178.28,213.63,330.98,282.13,,475.29,242.01,137.72,2142.15,,701.19,511.64,,241.15,1158.37,237.8,331.97,636.6
1986,2799.41,681.77,314.04,1139.8,242.87,239.95,980.45,572.91,416.38,201.31,409.92,253.27,863.87,840.5,,691.34,301.26,,230.42,4156.54,230.48,431.88,381.03,138.63,355.07,191.25,378.58,,324.06,154.51,206.21,447.21,1433.67,744.77,391.76,1277.75,274.62,229.52,305.95,,652.59,134.68,145.99,2475.04,,873.84,611.14,,324.75,1203.55,255.96,237.83,676.61
1987,2852.42,772.07,357.41,1558.18,275.34,219,1102.51,700.23,440.69,212.68,482.88,232.68,1043.91,893.12,804.33,761.91,351.25,,238.51,3884.82,260.9,372.09,394.87,181.52,377.15,238.27,439.65,,248.13,145.55,233.88,493.57,1828.84,803.49,176.12,1550.73,313.16,259.41,323.35,,761.91,187.17,157.13,3158.59,,1098.69,761,,370.37,1261.82,394.53,313.99,707.86
1988,2458.43,813.83,360.52,2032.48,296.01,203.42,1086.96,780,456.91,262.61,497.45,260.89,977.92,876.94,790.2,643.8,361.69,,239.3,4399.01,300.57,370.98,448.58,168.36,381.63,272,474.15,,229.56,160.15,232.47,505.93,2059.37,931.63,156.97,1632.25,310.81,246.39,344.2,,731.12,274.05,159.62,3398.64,,803.68,863.37,213.15,396.68,1284.9,394.9,501.75,793.2
1989,2255.2,923.45,324.67,2298.72,288.17,203.74,941.25,780.54,442.27,246.04,464.99,256.9,1027.77,806.35,765.09,712.24,309.13,,243.63,4652.92,306.18,364.89,441.67,213.89,365.45,280.51,364.15,,228.06,175.69,235.84,505.19,2088.91,939.8,172.98,1594.42,288.48,250.63,337.55,,699.14,237.29,166.26,3621.52,,770.37,835.64,179.1,378.54,1269.29,308.78,522.35,814.85
1990,2452.45,992.76,410.62,2742.13,332.61,202.1,915.5,881.45,506.86,289.23,571.01,256.82,1171.56,862.44,804.44,758.76,353.41,,249.98,6406.9,328.19,398.09,463,239.96,365.6,332.23,180.72,6668.63,273.17,200.49,279.17,510.94,2506.18,1041.95,185.44,1661.19,318.52,291.87,358.7,,789.42,163.16,138.96,3182.21,,606.57,1291.73,167.15,444.26,1507.23,243.19,418.37,839.01
1991,1762.99,1144.57,402.6,2769.71,327.25,203.95,992.38,899.26,466.96,302.87,550.24,240.07,1110.4,810.5,795.03,637.95,337.86,,267.24,5630.21,689.45,433.96,495.56,247.87,336.28,364.71,166.4,7235.09,228.31,229.93,273.42,704.08,2669.33,1102.96,198.23,1700.99,289.68,273.17,278.21,,752.82,195.23,,3345.81,,537.38,1302.74,188.24,427.54,1571.83,181.37,418.54,803.99
1992,1807.49,525.26,331.87,2830.5,227.56,185.61,884.63,979.26,464.88,294.6,579.29,208.05,1163.89,833.44,804.22,709.36,385.61,149.84,201.3,5641.53,690.94,409.82,507.95,213.74,327.81,424.03,108.8,7513.81,252.57,185.87,314.29,694.82,2973.21,1107.9,137.51,1876.1,282.53,319.3,314.45,,781.19,170.87,,3557.11,,319.24,1414.69,168.98,442.88,1825.38,150.9,384.75,613.45
1993,1838.3,464.8,429.93,2762.33,230.47,158.2,1022.33,1308.41,410.26,222.27,559.87,260.65,741.41,799.25,772.2,776.05,367.7,147.11,139.94,4277.98,709.28,370.61,477.2,219.18,222.54,417.13,78.99,6667.22,273.09,212.99,287.55,576.82,2973.79,1026.56,136.5,1827.03,187.28,203.49,329.44,,717.47,194.79,,3479.92,,387.25,1464.98,151.24,316.48,1687.45,164.63,386.1,583.73
1994,1533.01,345.7,291.98,2806.55,182.22,153.73,678.49,1055.78,262.66,173.87,385.08,136.47,665.44,583.25,801.82,850.34,293.79,166.88,131.61,3969.68,681.75,328.99,466.68,213.62,268.29,428.62,64.81,6104.1,233.89,120.94,184.3,590.51,3197.34,1144.31,140.35,2027.57,176.2,220.22,133.43,,476.13,232.92,,3546.67,,537.48,1502.85,155.2,246.72,1773.31,197.61,384.99,600.76
1995,1476.2,416.31,383.93,3010.38,222.55,164.36,626.47,1233.46,337.14,206.62,468.96,128.06,774.33,749.47,794.4,969.31,370.55,179.93,135.39,4560.58,697.93,380.33,488.25,225.67,329.85,478.73,64.36,5348.97,240.68,141.39,251.02,617.48,3599.55,1224.95,141.01,2121.35,204.91,255.5,232.22,,582.94,223.37,,3862.81,,563.61,1763.19,175.5,320.5,2012.94,276.31,389.89,608.6
1996,1630.66,604.4,405.55,2956.11,235.31,141.53,681.18,1242.01,314.13,222.65,454.57,127.42,904.12,804.46,766.57,1071.44,566.5,212.54,143.57,5092.08,732.31,397.78,495.67,235.58,427.29,446.06,72.33,5734.43,294.9,226.5,259.5,611.87,3899.44,1340.92,197.51,2052.62,209.24,313.44,238.18,,589.61,241.59,,3593.28,,358.44,1627.76,211.03,348.19,2154.99,281.49,356.94,719.28
1997,1647.51,348.61,378.8,3119.48,216.58,157.39,672.54,1188.22,287.33,207.38,407.77,131.35,803.48,756.66,755.05,1221.76,1053.45,205.84,142.38,4638.4,674.67,385.96,474.03,229.41,453.13,460.97,125.35,6200.85,253.6,258.09,238.66,578.03,3646.64,1205.93,225.95,2075.05,187.64,314.3,294,,530.2,217.24,,3636.17,,453.41,1705.08,243.22,344.64,2251.37,283.38,415.2,705.71
1998,1623.92,69.05,398.9,3061.29,241.36,143.61,643,1239.1,294.19,226.9,403.55,131.2,655.66,805.02,746.46,1298.88,933.94,217.46,125.52,3806.16,685.92,409.28,442.32,172.97,474.6,431.06,141.53,5405.73,259.08,164.96,243.55,551.08,3593.24,1425.14,250.03,1885.47,203.89,272.44,286.48,,556.74,170.06,,3205.17,,426.85,1564.17,288.53,352.73,2336.08,288.95,334.35,522.11
1999,1616.02,126.57,393.22,3394.59,252.24,128.6,684.31,1380.03,289.44,193.11,406.27,97.28,770.4,773.04,753.37,1364.95,1730.19,194.62,115.89,3863.73,646.46,412.39,420.77,184.44,423.35,414.37,162.97,5937.37,249.63,162.6,234.32,547.43,3651.23,1396.9,255.77,1829.01,191.33,287.92,239.71,,555.2,166.17,,3102.81,,396.37,1533.38,292.13,338.89,2426.39,255.45,314.86,552.83
2000,1794.41,298.41,361.95,3204.12,212.38,131.05,592.37,1233.26,247.03,168.45,358.95,86.75,1026.83,628.23,753.12,1475.84,2388.35,172.76,123.68,4102.62,603.6,259.99,358.96,173.66,406.52,392.69,185.81,6479.71,252.38,155.27,214.47,489.51,3861.04,1285.74,236.81,2061.67,164.65,371.77,214.23,544,492.29,153.48,,3019.95,,444.81,1508.22,299.25,270,2245.34,255.78,318.93,534.79
2001,1781.05,314.71,371.84,3381.29,222.39,126.51,600.58,1264.95,247.36,200.68,381.11,92.02,869.58,624.24,763.63,1417.26,3231.82,180.35,119.51,3730.98,514.65,270.72,334.43,157.36,404.85,355.17,175.21,5330.83,285.84,148.88,225.93,476.24,3780.83,1295.08,218.02,1831.64,172.03,378.83,198.02,533.08,499.81,250.82,,2638.16,,467.84,1333.18,297.38,270.46,2281.06,233.77,349.65,538.96
2002,1814.56,447.94,404.68,3369,246.29,117.19,663.07,1371.59,258.91,225.07,423.42,105.63,918.23,668.58,772.42,1251.89,3872.02,169.98,112.52,3821.3,420.22,306.56,342.78,157.9,399.29,326.73,178.9,3651.35,269.13,225.23,278.52,472.95,3939.28,1372.18,218.82,1703.27,185.41,455.33,192.89,622.34,532.15,275,,2439.99,,513.89,1207.99,301.56,291.95,2365.76,239.53,347.06,503.03
2003,2131.35,808.28,496.47,4418.72,313.96,111,811.63,1769.37,292.89,298.96,532.56,104.81,1038.84,787,797.86,1159.8,5161.48,209.92,120.63,4595.79,343.51,370.32,394.15,361.44,440.89,477.67,134.65,4342.58,325.01,199.64,352.38,542.36,4587.66,1673.57,236.61,2455.41,225.4,508.43,208.4,661.95,665.95,289.94,,3647.7,,599.29,1827.04,316.93,323.72,2790,237.85,396.94,454.1
2004,2624.21,1187.81,547.56,5425.15,350.88,127.69,919.03,1980.18,321.24,465.97,579.06,116.78,1349.08,873.07,839.16,1082.37,8885.89,256.82,138.37,5340.2,396.29,420.52,412.44,389.8,463.81,602.93,151,5905.86,251.41,210.47,381.62,618.46,5177.37,1893.08,281.43,3233.42,243.32,644.03,231.88,710.29,758.88,289.01,,4695.04,,712.85,2382.27,339.42,366.3,3139.53,288.51,485.97,460.84
2005,3111.7,1856.96,570.89,5467.66,384.74,154.07,944.99,2055.43,336.01,541.8,601.95,125.24,1722.81,908.02,876.88,1208.65,13521.21,244.84,165.43,6321.99,415.1,495.93,324.85,418.85,526.13,662.42,170.3,7626.03,281.71,214.85,402.63,716.86,5054.32,1958.51,316.73,3491.09,262.06,802.79,280.52,745.69,800.14,315.88,,5234.31,,861.83,2539.82,364.19,391.11,3218.96,324.9,626.27,457.83
2006,3508.91,2573.99,597.72,5921.25,399.71,165.54,1000.26,2316.47,360.4,604.82,610.36,149.33,2130.67,947.69,933.46,1422.34,15345.66,260.7,199.14,6832.26,423.37,920.6,306.6,414.56,615.86,685.15,182.27,9583.79,299.3,236.2,431.56,971.49,5194.47,2137.87,333.28,3765.92,270.81,1014.58,329.53,801.35,838.85,349.64,,5468.3,,1119.72,2893.64,358.97,398.34,3394.31,339.7,910.82,434.48
2007,4005.22,3526.12,678.73,6422.19,448.56,171.17,1113.45,2755.99,407.92,675.53,685.16,164.78,2250.22,1061.62,1010.09,1695.8,19528.57,274.66,246.82,8127.68,502.01,1090.05,449.06,484.99,726.6,758.48,212.53,11921.41,386.87,268.43,509.7,1044.85,6182.2,2425.78,368.42,4081.37,307.66,1129.09,384.96,916.74,986.5,388.29,,5930.13,,1423.42,2993.65,409.7,446.41,3799.35,392.75,957.37,423.99
2008,4966.57,4414.06,793.87,6877.04,538.23,204.03,1265.3,3204.39,467.97,784.77,760.55,186.88,3091.23,1233.17,1148.31,2078.8,27818.64,278.96,325.57,10021.87,590.29,1226.27,395.25,579.8,792.23,764.33,232.53,15150.16,480.65,305.37,604.26,1088.01,7599.98,2837.77,442.89,4012.83,371.62,1374.67,470.98,1147.72,1135.68,439.99,,5612.89,1700.43,1653.02,2926.85,490.09,547.6,4331.24,460.79,1182.65,354.63
2009,3951.91,3511.76,765.56,5822.1,522.27,222.15,1157.14,3256.23,458.93,647.52,747.91,174.51,2434.01,1190.78,1202.92,2370.71,17944.39,364.2,350.76,7408.65,535.54,1090.42,426.65,560.96,774.93,796.27,301.14,9957.49,421.78,348.33,601.25,896.2,6928.96,2873.71,423.21,3951.34,350.94,1091.26,509.41,1208.96,1054.69,418.38,,5738.27,1246.72,1596.73,3029.51,490.94,535.93,4177.13,488.25,1006.39,491.68
2010,4566.89,4237.35,741.07,7426.63,559.2,241.79,1144.25,3344.87,451.26,760.71,739.51,198.71,2970.12,1161.26,,2698.37,20703.1,402.96,320.38,8767.83,550.69,1319.08,474.47,551.33,794.77,1003.7,323.65,,426.63,362.3,613.04,1065.04,7577.11,2841.9,393.72,4853.66,348.8,1443.21,529.41,1215.49,1033.91,431.82,,7271.73,1504.9,1928.12,3686.96,511.03,529.65,4206.78,514.51,1252.49,591.29
2011,5244.03,5318.04,801.64,8532.62,612.67,271.24,1259.87,3797.83,489.15,918.09,809.57,231.02,3484.66,1194.56,,2780.95,27477.71,481.73,356.97,11113.89,505.76,1570.13,497.9,625.55,808,1105.91,374.33,,465.01,365.45,683.51,1189.58,8755.37,3105.42,533.31,5383.26,374.45,1501.72,582.56,1473.28,1119.36,495.71,,8070.03,1858.83,1866.44,3830.57,516.55,588.19,4350.34,487.11,1425.31,757.09